Epoch,Training Error,Testing Error
1,0.003030031220987439,0.00028004462365061045
2,4.1448041883995757e-05,1.7127782484749332e-05
3,1.4802830264670774e-05,1.3067411600786727e-05
4,1.2270417755644303e-05,1.1477228326839395e-05
5,1.1048827218473889e-05,1.0502781151444651e-05
6,1.0215278962277807e-05,9.75494367594365e-06
7,9.539042366668582e-06,9.120848517341074e-06
8,8.953729775385e-06,8.571688340452965e-06
9,8.453710506728385e-06,8.142383194353897e-06
10,8.018550033739302e-06,7.699897651036736e-06
11,7.647749953321181e-06,7.3594592322479e-06
12,7.314679351111408e-06,7.070268111419864e-06
13,7.023023954388918e-06,6.7902196860814e-06
14,6.745257906004554e-06,6.501858024421381e-06
15,6.4981504692696035e-06,6.250694241316523e-06
16,6.257877430471126e-06,6.021805347700138e-06
17,6.031459633959457e-06,5.800372946396237e-06
18,5.82715256314259e-06,5.599772521236446e-06
19,5.641684310830897e-06,5.4248012020252645e-06
20,5.463838078867411e-06,5.26968597114319e-06
21,5.2984655667387415e-06,5.089213573228335e-06
22,5.140433586348081e-06,4.949198682879796e-06
23,4.9944455895456485e-06,4.8149872782232706e-06
24,4.843439455726184e-06,4.651178642234299e-06
25,4.694784365710802e-06,4.518605237535667e-06
26,4.553971848508809e-06,4.382041879580356e-06
27,4.4165062718093395e-06,4.224315489409491e-06
28,4.277795596863143e-06,4.093534244020702e-06
29,4.145387720200233e-06,4.0013428588281386e-06
30,4.01151601181482e-06,3.85824478144059e-06
31,3.89566775993444e-06,3.7364588933996856e-06
32,3.7743420762126334e-06,3.6248045489628566e-06
33,3.66210065294581e-06,3.5264520192868076e-06
34,3.5585810564953135e-06,3.429988510106341e-06
35,3.461951337158098e-06,3.3349604109389475e-06
36,3.3728802009136416e-06,3.264640554334619e-06
37,3.2706509500712855e-06,3.2224540973402327e-06
38,3.1826132271817187e-06,3.100142066614353e-06
39,3.0929859349271283e-06,3.000049900947488e-06
40,3.0274627533799503e-06,2.9206987619545544e-06
41,2.9311290745681617e-06,2.851675162673928e-06
42,2.8696142635453725e-06,2.7948069600824965e-06
43,2.794839019770734e-06,2.708225792957819e-06
44,2.714363745326409e-06,2.6541829356574453e-06
45,2.6663999506126856e-06,2.602249651317834e-06
46,2.600982497824589e-06,2.5392043880856363e-06
47,2.5171170818794053e-06,2.4678940917510772e-06
48,2.4746391318331007e-06,2.3937056994327577e-06
49,2.4269336336146807e-06,2.3428256099577993e-06
50,2.3525703909399454e-06,2.313597860847949e-06
51,2.3015752503852127e-06,2.285944674440543e-06
52,2.2542333226738265e-06,2.1931386982032564e-06
53,2.2211306713870727e-06,2.172208951378707e-06
54,2.1637645204464206e-06,2.146921588064288e-06
55,2.1359203401516424e-06,2.063798319795751e-06
