Epoch,Training Error,Testing Error
1,1.481158165006491e-07,1.5284288679140445e-07
2,4.979768846169463e-07,2.1084815671201795e-08
3,2.6727718704933068e-08,1.6206033848220613e-08
4,2.990154612803053e-08,2.4441613177828003e-08
5,3.659436487168932e-08,8.949325724927348e-09
6,3.827701178238385e-08,9.196520878163028e-09
7,2.7949965897278162e-08,7.3525456834033776e-09
8,2.4872079507076705e-08,4.862097213731431e-08
9,2.5242302470473987e-08,1.0182579757156418e-07
10,2.3024794515436042e-08,1.7722658895991117e-08
11,2.5262265168635167e-08,3.168679185705514e-08
12,1.9150910191001458e-08,5.4589822440220814e-08
13,1.9995303190967206e-08,1.0398323269100729e-07
14,2.351524663879445e-08,5.484369580699422e-07
15,1.7952920927655214e-08,4.822455768049849e-09
16,1.774465374637657e-08,2.7987063777601406e-09
17,1.382547054618044e-08,3.099321332911131e-08
18,1.6688428416955503e-08,1.3587042246854253e-07
19,1.3216237881863435e-08,7.75188002677396e-09
20,1.4079875931827246e-08,4.237849537958027e-08
21,1.20448762075398e-08,3.2308593578278533e-09
22,1.1978430691783615e-08,1.0387666726785483e-08
23,1.0404844985600903e-08,3.825876060403743e-09
24,1.4625896938014193e-08,4.41816450091892e-09
25,8.480340873973091e-09,3.825511019073247e-09
