Epoch,Training Error,Testing Error
1,0.000490955077111721,2.973709342768416e-06
2,8.224820930990973e-07,3.9015617403492797e-07
3,2.867325861188874e-07,2.0985858384392486e-07
4,1.7210392400102137e-07,1.299915197705559e-07
5,1.1845207126270907e-07,8.894291880778837e-08
6,0.002921177539974451,2.0149054762441665e-06
7,1.5291338968381751e-06,1.0450261243022396e-06
8,9.982701385524706e-07,9.507852496426494e-07
9,9.145242074737325e-07,7.529080789936415e-07
10,7.353849582614203e-07,5.11759878918383e-07
11,4.5331330511544365e-07,3.1375361686514225e-07
12,3.135277211185894e-07,2.2096737950505485e-07
13,1.9003496731784253e-07,1.0992921062324967e-07
14,1.0685045026548323e-07,5.706939631977548e-08
15,5.452366380609419e-08,2.8270743968050738e-08
16,0.01863272674381733,9.990180842578411e-07
17,1.0134097010450205e-06,9.99018539005192e-07
18,1.0134097010450205e-06,9.990184253183543e-07
19,1.0134097010450205e-06,9.99017743197328e-07
20,1.0134098147318582e-06,9.990179705710034e-07
21,1.0134098147318582e-06,9.990183116315166e-07
22,1.0134098147318582e-06,9.990171747631393e-07
23,1.0135021284440882e-06,9.990186526920297e-07
24,1.0135353250007029e-06,9.990270655180211e-07
25,1.0135368029295933e-06,9.990206990551087e-07
26,1.0135318007087335e-06,9.99021381176135e-07
27,1.013536916616431e-06,9.996747394325212e-07
28,1.0135260026800097e-06,9.990786793423467e-07
29,1.0135212278328254e-06,9.996419976232573e-07
30,1.0135305501535186e-06,9.990170610763016e-07
31,1.0135182719750446e-06,9.990631042455789e-07
32,1.013523387882742e-06,9.990179705710034e-07
33,1.0135222510143649e-06,9.990179705710034e-07
34,1.0135121328858077e-06,9.997473853218253e-07
35,1.013518954096071e-06,9.990176295104902e-07
36,1.0135157708646148e-06,9.992733112085261e-07
37,1.013512815006834e-06,9.990845910579083e-07
38,1.0135083812201628e-06,9.990181979446788e-07
39,1.0135092907148646e-06,9.99128360490431e-07
40,1.0135059937965707e-06,9.990322951125563e-07
