Epoch,Training Error,Testing Error
1,0.0003722304245457053,1.1084365723945666e-05
2,6.757125447620638e-06,5.497828965417284e-07
3,5.727064831262396e-07,2.8496424420154653e-07
4,3.335955511829525e-07,1.6830625781949493e-07
5,2.0580614545906428e-07,1.6409622105584276e-07
6,1.420346649183557e-07,5.781562961715281e-08
7,1.4976882312112139e-07,2.042436975102646e-08
8,8.065642020937958e-08,2.9715110372308118e-08
9,3.035954065921942e-08,1.995006826405188e-08
10,1.3132082976596848e-08,6.127863105831466e-09
11,7.647540378741269e-09,3.259548853051797e-09
12,2.411688228676212e-06,4.511493045811221e-08
13,4.267397812895979e-08,1.0717629805867546e-07
14,5.977159389658482e-08,2.2664751853085363e-08
15,3.8638674482172064e-08,3.118512381661276e-08
16,2.9742546203692655e-08,6.796786244933628e-09
17,2.937639287381444e-08,6.336686197982999e-08
18,3.6165149595035473e-06,1.1664910744002555e-06
19,6.310319236035866e-07,2.951684336949256e-07
20,1.8899223164225987e-07,1.2247119229868986e-07
21,5.6008687465691764e-08,3.621883593041275e-08
22,5.1135994993956047e-08,6.434742516603364e-08
23,4.560551403187674e-08,1.4759329758362583e-08
24,3.8256178669371366e-08,9.287366253829532e-08
25,3.483578225882411e-08,1.4514148993782783e-08
26,1.3852489928467548e-06,4.269607245532825e-08
27,2.756004668924561e-08,1.8064078233237524e-08
28,1.4998041919511707e-08,1.1029789526162403e-08
29,1.8528336198642137e-08,1.015833817064049e-08
30,2.0460634075902817e-08,4.56943567428425e-08
31,1.492938039859837e-08,5.369150457568139e-08
32,1.1802309352049178e-08,4.294509192703799e-09
33,9.133935385818859e-09,3.509980306404259e-09
34,4.878653498963104e-07,3.209378718338485e-08
35,1.9140438567433193e-08,1.1620868711759158e-08
36,8.995661104904684e-09,6.317444345427248e-09
37,5.4040696362278595e-09,4.014685917042016e-09
38,4.626670602192462e-09,5.153844906402583e-09
39,4.27703250593936e-09,3.2072589029041865e-09
40,3.6231588840252016e-09,1.8832322368211862e-09
41,2.4255771791104053e-07,3.061532538595202e-07
42,2.6631083116512855e-08,8.468682644036107e-09
43,6.791768925040742e-09,5.064094033002675e-09
44,6.645059613674675e-09,3.2910254521567595e-09
45,4.904131767347053e-09,2.002170873538489e-09
46,3.466494424841926e-09,2.900917950299231e-09
47,2.6057189739248088e-09,7.288331271837478e-09
48,3.0983668963813216e-09,1.277846495284507e-09
49,9.777743770200686e-08,6.127392815358235e-09
50,3.0680460394449938e-09,1.8171502080832624e-09
51,1.223094292512883e-09,8.553913688480463e-10
52,1.1548848544151724e-09,2.3511590452329756e-09
53,1.6467652796947618e-09,5.488187126978517e-10
54,2.0251560428619086e-09,3.038693963119954e-09
55,1.7711934141573238e-09,1.4670716863562916e-09
56,1.33717549033463e-07,7.929608636381147e-10
57,6.238726757423763e-10,4.799797781451787e-10
58,4.668305741972745e-10,4.219023463924998e-10
59,6.945937713886963e-10,6.997490920035432e-10
60,1.3554539712856695e-09,5.916779288739349e-10
61,1.7368781968229996e-09,5.278382175788465e-10
62,1.50806056531394e-09,5.531187508012181e-09
63,1.5998384839122082e-09,2.9395877398918913e-10
64,1.0094608882127432e-07,1.1701457580670649e-08
65,4.7377701761774915e-09,2.145725819246991e-09
66,1.7278618535954138e-09,2.035547508327795e-09
67,1.5383521123624178e-09,8.436004672596198e-10
68,1.2168329677209044e-09,3.967805639604194e-09
69,1.1795412424575602e-09,5.13646680744273e-10
70,1.2239532720670354e-09,5.034978545204183e-10
71,1.2155185746820507e-09,4.592707991690759e-09
72,1.2484598244100198e-08,3.6325684127369584e-10
73,3.847136775814164e-10,2.9112642851991666e-10
74,9.485136009956818e-10,3.356878941485064e-10
75,1.4253263014296635e-09,4.3056036513888785e-10
76,9.200625816774277e-10,3.569119999546899e-10
77,1.1564562640842269e-09,4.701478317770125e-09
78,1.0772213121512664e-09,3.0692989816394345e-10
79,7.822630876397341e-10,6.789206419277605e-10
80,1.17589160630871e-09,1.0807977846027939e-09
81,7.257132672577882e-10,4.0835615444656526e-10
82,4.279183229982664e-09,1.5000303776879775e-10
83,1.9851627286460172e-10,7.774514920733111e-10
84,6.832010512880515e-10,1.483080325215269e-10
85,7.238981081236773e-10,3.236919621230072e-10
86,7.452068406799128e-10,3.814711879712718e-10
87,6.102323091283779e-10,1.3968956547039113e-10
88,6.815658593062324e-10,1.341605576632432e-10
89,5.809804304313104e-10,7.292004222669846e-10
90,5.99082949914731e-10,3.373638035597537e-10
91,5.758327703553334e-10,3.0037092257906295e-10
92,5.480761400278311e-10,1.6212357845102332e-10
93,5.632412314326984e-10,4.111671836337649e-10
94,5.745959263947498e-10,6.07235206562251e-10
95,4.5002326864995723e-10,1.1096321778092388e-10
96,6.069482694215367e-10,1.232120794281144e-10
97,4.1329162314696077e-10,4.115910390289912e-10
98,6.671075358788414e-10,8.480195712312621e-11
99,3.810130544401602e-10,5.448416717790394e-10
100,4.005878961876874e-10,5.401314395747647e-10
