Epoch,Training Error,Testing Error
1,0.007380605675280094,0.00011995720706181601
2,2.0634919565054588e-05,1.2803842764697038e-05
3,1.2481380508688744e-05,1.2276727829885203e-05
4,1.2051587873429526e-05,1.1919278222194407e-05
5,1.1714062566170469e-05,1.160713054559892e-05
6,1.1426606761233415e-05,1.1347630788804963e-05
7,1.1180452020198572e-05,1.1101119525847025e-05
8,1.09541861093021e-05,1.0883671166084241e-05
9,1.0723499144660309e-05,1.0639965694281273e-05
10,1.0480413038749248e-05,1.0383591870777309e-05
11,1.0213300811301451e-05,1.0087544069392607e-05
12,9.91873639577534e-06,9.803577995626256e-06
13,9.612366739020217e-06,9.482216228207108e-06
14,9.287507964472752e-06,9.146400770987384e-06
15,8.95258108357666e-06,8.805082870821934e-06
16,8.593578058935236e-06,8.473316484014504e-06
17,8.232676918851212e-06,8.097659701888915e-06
18,7.877791176724713e-06,7.747039489913732e-06
19,7.541530976595823e-06,7.419563189614564e-06
20,7.212180207716301e-06,7.094131433404982e-06
21,6.861807833047351e-06,6.7098553699906915e-06
22,6.4674295572331175e-06,6.269438017625362e-06
23,6.031395514582982e-06,5.847161446581595e-06
24,5.622517164738383e-06,5.4003767218091525e-06
25,5.233630417933455e-06,5.048708771937527e-06
26,4.905572950519854e-06,4.738411007565446e-06
27,4.637586243916303e-06,4.48796618002234e-06
28,4.417515356180957e-06,4.280135271983454e-06
29,4.2031952034449205e-06,4.0800837268761825e-06
30,4.019021616841201e-06,3.887316779582761e-06
31,3.86894589610165e-06,3.7395443541754503e-06
32,3.7164274999668123e-06,3.592010216380004e-06
33,3.588367007978377e-06,3.4588820199132897e-06
34,3.453603085290524e-06,3.3628059554757783e-06
35,3.34379274136154e-06,3.230651827834663e-06
36,3.224767397114192e-06,3.1680071970185963e-06
37,3.1353447411675006e-06,3.0564672215405153e-06
38,3.0386429443751695e-06,2.951796659544925e-06
39,2.9458406061166897e-06,2.887179789468064e-06
40,2.871261813197634e-06,2.789396603475325e-06
41,2.777325562419719e-06,2.713092499107006e-06
42,2.6953914584737504e-06,2.6354059627919924e-06
43,2.6484740374144167e-06,2.6047091523651034e-06
44,2.553765398261021e-06,2.498298954378697e-06
45,2.47604180003691e-06,2.4084622509690234e-06
46,2.400510766165098e-06,2.3577474621561123e-06
47,2.3214095108414767e-06,2.26702150030178e-06
48,2.279386535519734e-06,2.2045369405532256e-06
49,2.199151822424028e-06,2.1298510546330363e-06
50,2.1261942038108828e-06,2.0698278149211546e-06
51,2.0648906229325803e-06,2.0119111923122546e-06
52,2.0099860194022767e-06,1.9532005808287067e-06
53,1.948294539033668e-06,1.9392180092836497e-06
54,1.8950643152493285e-06,1.8746191017271485e-06
55,1.883251684375864e-06,1.867460809990007e-06
56,1.8025207282335032e-06,1.740288780638366e-06
57,1.7247824644073262e-06,1.6946271443885053e-06
58,1.678222133705276e-06,1.6479879150210763e-06
59,1.6396809314755956e-06,1.6405266478614067e-06
60,1.608559273336141e-06,1.5998298295016866e-06
61,1.6211790807574289e-06,1.516130282652739e-06
62,1.502860754953872e-06,1.4987439271862968e-06
63,1.485006691837043e-06,1.4607123830501223e-06
64,1.4496985158984899e-06,1.4986660517024575e-06
65,1.4166218988975743e-06,1.3701386478714994e-06
66,1.360425017082889e-06,1.35010157009674e-06
67,1.3497061672751443e-06,1.303868316426815e-06
68,1.2954218391314498e-06,1.3049066183157265e-06
69,1.2730539538097219e-06,1.4070983525016345e-06
70,1.2572581908898428e-06,1.2650127700908342e-06
71,1.2145488881287747e-06,1.188846908917185e-06
72,1.1870996559082414e-06,1.213739324157359e-06
73,1.1689600114550558e-06,1.1422439456509892e-06
74,1.1611650734266732e-06,1.1506873534017359e-06
75,1.124832238019735e-06,1.1170155858053477e-06
76,1.0881640264415182e-06,1.0805325700857793e-06
77,1.0625832373989397e-06,1.0188913392994436e-06
78,1.0170299447054276e-06,1.0633484635036439e-06
79,1.0103952945428318e-06,9.894345112115843e-07
80,1.011221343105717e-06,1.1283311778242933e-06
81,9.62565195550269e-07,9.719977924760315e-07
82,9.428910630049359e-07,1.0112456720889895e-06
83,9.377206993121945e-07,9.832577916313312e-07
84,9.051896086020861e-07,8.896990379980707e-07
85,8.460125968667853e-07,8.972965588327497e-07
86,8.602710295235738e-07,8.358156833310204e-07
87,8.401980835515133e-07,8.300299327856919e-07
88,8.510144766660233e-07,8.193621283680841e-07
89,7.886072239671194e-07,7.920150437712437e-07
90,7.633695986442035e-07,7.688382197557075e-07
91,7.85230440669693e-07,7.592782935716968e-07
92,7.302405151676794e-07,7.373099037977227e-07
93,7.332113796110207e-07,7.052863679746224e-07
94,7.058854976094153e-07,7.503599590563681e-07
95,6.897152502460813e-07,6.90246679369011e-07
96,6.795394824621326e-07,7.32365094791021e-07
97,6.55027861284907e-07,6.692980036859808e-07
98,6.551359774675802e-07,7.530028369728825e-07
99,6.450301270888303e-07,6.019753300279262e-07
100,6.057747441445827e-07,6.048174441275478e-07
101,6.146502755655092e-07,5.999468157824595e-07
102,6.012558060319861e-07,5.92041942582e-07
103,5.721678348891146e-07,5.575410568781081e-07
104,5.579217940976378e-07,5.663263777933025e-07
105,5.423509605861909e-07,6.723545880049642e-07
106,5.489880550157977e-07,5.508987896973849e-07
107,5.259785780253878e-07,5.656062853631738e-07
108,5.47192712474498e-07,5.047199920227285e-07
109,5.015157285015448e-07,5.273730039334623e-07
110,4.851761445934244e-07,4.6409846277128963e-07
111,4.928194243802864e-07,4.525726353676873e-07
112,4.68893944116644e-07,4.6497925154653785e-07
113,4.6140576159814373e-07,7.125170213839738e-07
114,4.5911204438198183e-07,4.709369818556297e-07
115,4.43596746890762e-07,4.2966394175891764e-07
116,4.322928646161017e-07,4.181471524589142e-07
117,4.330932199536619e-07,4.565899018871278e-07
118,4.237457744693529e-07,4.3358087964406877e-07
119,3.875701679589838e-07,4.1011108464772406e-07
120,4.1584769405744737e-07,4.2493701357670943e-07
121,3.8046059103180596e-07,3.725654664776812e-07
122,3.8027482673896884e-07,3.703583217884443e-07
123,3.7575787814603245e-07,3.650861231108138e-07
124,3.790295579619851e-07,3.9389826156366325e-07
125,3.6025772942593903e-07,4.936763957630319e-07
126,3.697206238939543e-07,3.978465485943161e-07
127,3.4077032751156366e-07,3.4747040444926824e-07
128,3.3798056620071293e-07,3.2590025966783287e-07
129,3.2661210980222677e-07,3.13980564214944e-07
130,3.1994852633943083e-07,3.103450296748633e-07
131,3.217963353563391e-07,4.2540807498880895e-07
132,3.2482859069205006e-07,3.112293143203715e-07
133,3.023214105724037e-07,3.0285028174148465e-07
134,2.9492036901501706e-07,3.2918038073148637e-07
135,3.02695980280987e-07,2.9509627097468183e-07
136,2.875543430036487e-07,2.8489461101344205e-07
137,2.806452243930835e-07,2.897026263326552e-07
138,2.899861613059329e-07,2.8765339266101364e-07
139,2.752810814854456e-07,2.835342343132652e-07
140,2.7362167998035147e-07,2.76645323538105e-07
141,2.662124813923583e-07,2.6346708636992844e-07
142,2.640465197600861e-07,2.587842402590468e-07
143,2.5545537596372014e-07,2.682851061308611e-07
144,2.4887165750442364e-07,2.5253544322367816e-07
145,2.40940750018126e-07,2.418410929294623e-07
146,2.423774390081235e-07,2.4625106220810267e-07
147,2.5477078224867e-07,2.772633251879597e-07
148,2.3530451187525614e-07,2.45449683689003e-07
149,2.2612344707795273e-07,2.587213430160773e-07
150,2.249344390747865e-07,2.7131324031870463e-07
151,2.2576328717605065e-07,2.2326520365822944e-07
152,2.2914444741672924e-07,2.406359271844849e-07
153,2.1736121880167047e-07,2.300386512388286e-07
154,2.1485425349965226e-07,2.0955580737336277e-07
155,2.2270789656886336e-07,2.2492258722195402e-07
156,2.096710147725389e-07,2.133088798927929e-07
157,2.0576796089244453e-07,2.0966430724911334e-07
158,2.0219918894781586e-07,2.2336389804422652e-07
159,2.0618611529243935e-07,2.215841163888399e-07
160,1.9639287529571448e-07,2.0220971919115982e-07
161,1.9320791011523397e-07,1.9917331428587204e-07
162,1.912104465873199e-07,1.9838630294088944e-07
163,1.8683415703435458e-07,1.9481312563129904e-07
164,1.921189038966986e-07,1.8840709969936142e-07
165,1.9039619303384825e-07,1.880573563539656e-07
166,1.8811273605479073e-07,2.0419575719188288e-07
167,1.8686272085233213e-07,1.9222325420287234e-07
168,1.8588519878903753e-07,1.8494407072466856e-07
169,1.750254909893556e-07,1.9342243717801466e-07
170,1.7890162951061939e-07,1.8130040757569077e-07
171,1.724110347822716e-07,1.824865165644951e-07
172,1.6640693445424404e-07,1.7511041505713365e-07
173,1.7161491427941655e-07,1.7510421912447782e-07
174,1.6958276205514267e-07,1.7539343843964161e-07
175,1.634273019135435e-07,1.72140119047981e-07
176,1.644444722614935e-07,1.7599148804947617e-07
177,1.6275375003260706e-07,1.6676482061939168e-07
178,1.60058860387835e-07,1.6666636781792477e-07
179,1.5721347779162897e-07,1.6923259238410537e-07
180,1.5713351331214653e-07,1.751035370034515e-07
181,1.569273564427931e-07,1.677010317280292e-07
182,1.5381094442545873e-07,1.6603657115865644e-07
183,1.5598244829106989e-07,1.655500483366268e-07
184,1.5015326937373175e-07,1.5873025915880135e-07
185,1.4971961093124264e-07,1.5798103447650647e-07
186,1.4810005666276993e-07,1.5885180459918047e-07
187,1.464031811337918e-07,1.5585395374273503e-07
188,1.4409248194624524e-07,1.5776632267261448e-07
189,1.4602632347759936e-07,1.6616330356100661e-07
190,1.4584381347049202e-07,1.578084152242809e-07
191,1.4320767149911262e-07,1.528061090994015e-07
192,1.424222233481487e-07,1.534042723960738e-07
193,1.4081075505600893e-07,1.5113904794361588e-07
194,1.3949407673408132e-07,1.5205128534034884e-07
195,1.381677634526568e-07,1.5179797685505036e-07
196,1.380301597464495e-07,1.4953590721233923e-07
197,1.3781922802991176e-07,1.4930176917005156e-07
198,1.3686589284134243e-07,1.484428082676459e-07
199,1.3556412170601106e-07,1.47536354688782e-07
200,1.345837432609187e-07,1.4653646474016568e-07
