Epoch,Training Error,Testing Error
369,1.1933272617170587e-05,1.162340231530834e-05
370,1.1934418580494821e-05,1.1622772944974713e-05
371,1.1935283509956207e-05,1.162195530923782e-05
372,1.1935018846997991e-05,1.1621690646279603e-05
373,1.193308435176732e-05,1.1621074008871801e-05
374,1.1932875167985912e-05,1.162081207439769e-05
375,1.1937324416066986e-05,1.1620219083852135e-05
376,1.1933579116885085e-05,1.1620256373134907e-05
377,1.1939199794142041e-05,1.1619592442002613e-05
378,1.1935518159589265e-05,1.1619003089435864e-05
379,1.1935273505514488e-05,1.1619973520282656e-05
380,1.1929245374631137e-05,1.1618637472565752e-05
381,1.1925041690119542e-05,1.1617639756877907e-05
382,1.1929431821045e-05,1.161711861641379e-05
383,1.1930159416806418e-05,1.1617396012297831e-05
384,1.1930738764931448e-05,1.1616834854066838e-05
385,1.193059142678976e-05,1.1615951734711416e-05
386,1.1924235877813771e-05,1.1615668881859165e-05
387,1.1931124390685e-05,1.161566615337506e-05
388,1.1929456377401948e-05,1.1614706636464689e-05
389,1.192787749459967e-05,1.1614547474891879e-05
390,1.1935068869206589e-05,1.1613954484346323e-05
391,1.1929469110327773e-05,1.1613647984631825e-05
392,1.192450235976139e-05,1.1613013157329988e-05
393,1.192856507259421e-05,1.16126602733857e-05
394,1.1921554687432945e-05,1.1612220987444744e-05
395,1.1922288649657276e-05,1.1612117305048741e-05
396,1.1926116712857038e-05,1.1611307854764163e-05
397,1.1928163075936027e-05,1.1611089576035738e-05
398,1.1921978511963971e-05,1.1610735782596748e-05
399,1.1923364581889473e-05,1.1609964531089645e-05
400,1.1923008059966378e-05,1.1609745342866518e-05
401,1.1927881132578477e-05,1.160913598141633e-05
402,1.1920788892894052e-05,1.1608657587203197e-05
403,1.1917911251657642e-05,1.1608314707700629e-05
404,1.1920222277694847e-05,1.1608382919803262e-05
405,1.1924160389753524e-05,1.1607480701059103e-05
406,1.1920001270482317e-05,1.1607146916503552e-05
407,1.1923712918360252e-05,1.1606587577261962e-05
408,1.1919693861273117e-05,1.1606603038671892e-05
409,1.1924083082703874e-05,1.1606462976487819e-05
410,1.1919833013962489e-05,1.1606098269112408e-05
411,1.1914487004105467e-05,1.1604887731664348e-05
412,1.1917023584828712e-05,1.160481679107761e-05
413,1.1916372386622243e-05,1.1605572581174783e-05
414,1.1916117728105746e-05,1.1603986422414891e-05
415,1.191814044432249e-05,1.1603420716710389e-05
416,1.1913321941392496e-05,1.1603110579017084e-05
417,1.192283980344655e-05,1.1603285201999824e-05
418,1.1921815712412354e-05,1.1601907317526639e-05
419,1.1917150004592258e-05,1.1601448932196945e-05
420,1.1918373274966143e-05,1.1601059668464586e-05
421,1.1915702089027036e-05,1.160073315986665e-05
422,1.190851708088303e-05,1.1600264770095237e-05
423,1.191128194477642e-05,1.1599755453062244e-05
424,1.1910118701052852e-05,1.1599345270951744e-05
425,1.1912393347301986e-05,1.1598855053307489e-05
426,1.1912958143511787e-05,1.159888142865384e-05
427,1.191122555610491e-05,1.1598220226005651e-05
428,1.1909585737157613e-05,1.1597943739616312e-05
429,1.1909499335160945e-05,1.1597248885664158e-05
430,1.1908286978723481e-05,1.1596821423154324e-05
431,1.1911364708794281e-05,1.159642943093786e-05
432,1.1907067346328404e-05,1.1596035619731992e-05
433,1.1915436516574118e-05,1.1595542673603632e-05
