Epoch,Training Error,Testing Error
1,0.0003722304245457053,1.1084365723945666e-05
2,6.757125447620638e-06,5.497828965417284e-07
3,5.727064831262396e-07,2.8496424420154653e-07
4,3.335955511829525e-07,1.6830625781949493e-07
5,2.0580614545906428e-07,1.6409622105584276e-07
6,1.420346649183557e-07,5.781562961715281e-08
7,1.4976882312112139e-07,2.042436975102646e-08
8,8.065642020937958e-08,2.9715110372308118e-08
9,3.035954065921942e-08,1.995006826405188e-08
10,1.3132082976596848e-08,6.127863105831466e-09
11,7.647540378741269e-09,3.259548853051797e-09
12,2.411688228676212e-06,4.511493045811221e-08
13,4.267397812895979e-08,1.0717629805867546e-07
14,5.977159389658482e-08,2.2664751853085363e-08
15,3.8638674482172064e-08,3.118512381661276e-08
16,2.9742546203692655e-08,6.796786244933628e-09
17,2.937639287381444e-08,6.336686197982999e-08
18,3.6165149595035473e-06,1.1664910744002555e-06
19,6.310319236035866e-07,2.951684336949256e-07
20,1.8899223164225987e-07,1.2247119229868986e-07
21,5.6008687465691764e-08,3.621883593041275e-08
22,5.1135994993956047e-08,6.434742516603364e-08
23,4.560551403187674e-08,1.4759329758362583e-08
24,3.8256178669371366e-08,9.287366253829532e-08
25,3.483578225882411e-08,1.4514148993782783e-08
