Epoch,Training Error,Testing Error
105,1.056352402883931e-06,9.906243576551788e-07
106,1.0535005685596843e-06,9.895557013805956e-07
107,1.0116006023963564e-06,9.884419114314369e-07
108,1.0267931429552846e-06,1.6800980802145205e-06
109,1.0455881920279353e-06,9.978128900911543e-07
110,1.0363716000938439e-06,9.872052260107012e-07
111,1.0318831300537568e-06,1.5288600252461038e-06
112,1.017467980091169e-06,1.006917045742739e-06
113,1.0221807542620809e-06,1.001556597657327e-06
114,1.0382511845818954e-06,1.0710375590861076e-06
115,1.0169943607252208e-06,9.848083664110163e-07
116,1.027447638080048e-06,9.909504115057644e-07
117,1.020450781652471e-06,9.860098089120584e-07
118,1.002633553071064e-06,1.035193804455048e-06
119,1.0218052466370864e-06,9.760653938428732e-07
120,1.0164656032429775e-06,9.757161478773924e-07
121,1.013924020298873e-06,1.0144339057660545e-06
122,1.006524598778924e-06,1.0246900501442724e-06
123,9.97956703940872e-07,1.0013583278123406e-06
124,1.0228236533293966e-06,1.4052952792553697e-06
125,9.980295772038517e-07,9.68998392636422e-07
126,9.927787232300034e-07,9.649547791923396e-07
127,9.881688356472296e-07,9.688820910014329e-07
128,9.822541642279248e-07,9.798964129004162e-07
129,9.902204283207539e-07,9.575340982337366e-07
130,9.808254617382772e-07,9.563832463754807e-07
131,9.875387831925764e-07,9.427977261111664e-07
132,9.739147799336934e-07,9.684364385975641e-07
133,9.57949623625609e-07,9.452246558794286e-07
134,9.605479363017366e-07,9.425469329471525e-07
135,9.599986015018658e-07,9.411837709194515e-07
136,9.593035201760358e-07,9.879514664135058e-07
137,9.666971436672611e-07,9.58715759225015e-07
138,9.483693474976462e-07,9.305504704570922e-07
139,9.46829857184639e-07,9.214786018674204e-07
140,9.52265793330298e-07,9.18384046144638e-07
141,9.374663250127924e-07,9.192586389872304e-07
142,9.38023902108398e-07,9.15048360639048e-07
143,9.248807941730774e-07,9.40453389830509e-07
144,9.244018315257563e-07,8.922871188588033e-07
145,9.163945833279286e-07,9.267081964026147e-07
146,9.03161208043457e-07,8.801503668109945e-07
147,8.913045235203754e-07,8.693212976140785e-07
148,8.842978900247545e-07,8.524907002538384e-07
149,8.558754416299053e-07,8.257651984422409e-07
150,8.2658357314358e-07,7.803660651006794e-07
151,7.822254133316164e-07,8.240273245974095e-07
152,7.244606763379124e-07,6.878522640363371e-07
153,6.568528760908521e-07,5.571521342062624e-07
154,4.983163535143831e-07,4.3632570623231004e-07
155,4.046039521199418e-07,3.549470761754492e-07
156,3.433065671742952e-07,3.0107059956208104e-07
157,2.8300939902692335e-07,2.5175225459861394e-07
158,2.702523147490865e-07,2.1787755599689262e-07
159,2.1151038254174637e-07,1.8807254775765614e-07
160,1.8871965323796758e-07,1.6434714211754908e-07
161,1.724813358805477e-07,1.5789829888035456e-07
162,1.587186346796443e-07,1.372491453821567e-07
163,1.4151898142245045e-07,1.2036528573844407e-07
164,1.2968132523383247e-07,1.1654825726736817e-07
165,1.216256038105712e-07,1.0480065526508042e-07
166,1.0285274498755825e-07,1.0069237532661646e-07
167,9.719944671360281e-08,9.29612298250504e-08
168,9.109432141940488e-08,8.295641151789823e-08
169,8.189952183101923e-08,9.111712273579542e-08
170,7.569506976778939e-08,6.909598937454575e-08
171,7.458685047367908e-08,6.903241001054994e-08
172,6.427399057429284e-08,6.357017667824039e-08
173,6.723243473061302e-08,5.8130545710355364e-08
174,5.760367471907557e-08,5.46469038908981e-08
175,5.759105903280215e-08,5.239693479097696e-08
176,5.268282876613739e-08,5.139520098396133e-08
177,5.2875186895562365e-08,4.942702958032896e-08
178,4.567809241962095e-08,4.751037607775288e-08
179,4.6208818105242244e-08,4.5485002431178145e-08
180,4.3291588980309825e-08,4.3426208407026934e-08
181,4.0661337408209874e-08,5.875736874827453e-08
182,4.363488059766496e-08,5.6219182198447015e-08
183,3.859129904526526e-08,3.923482339018847e-08
184,4.5915506063920475e-08,4.5976669582614704e-08
185,3.600967701800073e-08,3.549636673483292e-08
186,3.359152600523885e-08,3.3616032624195213e-08
187,3.3123797038570046e-08,3.322147534845499e-08
188,3.216165822550465e-08,3.243259172336366e-08
189,3.180372942779286e-08,3.3819830491665925e-08
190,3.087074773588938e-08,3.055988528899434e-08
191,2.941284726887261e-08,3.0098352254981364e-08
192,2.9256026934376678e-08,2.906480567332892e-08
193,2.8696344855916323e-08,2.9426212577732258e-08
194,2.762277340195851e-08,2.8994390888215094e-08
195,2.759016837217132e-08,2.7609338815182127e-08
196,2.6737737357507285e-08,2.7299632776589533e-08
197,2.6354207705026056e-08,2.6949292575295658e-08
198,2.5929448810302347e-08,2.7059757101710602e-08
199,2.5758907895578886e-08,2.6322430457526025e-08
200,2.537622911802373e-08,2.613676741702875e-08
201,2.5253383384438166e-08,2.592357262187761e-08
202,2.5066029252229782e-08,2.5747041831891693e-08
203,2.500949847217271e-08,2.578359925564655e-08
204,2.48236986521988e-08,2.586848424357413e-08
205,2.4761312999999063e-08,2.5267478775958807e-08
206,2.4616914728881056e-08,2.516652664041885e-08
207,2.458607184507855e-08,2.516442521027784e-08
208,2.4401380471772427e-08,2.515251829038334e-08
209,2.423849920774046e-08,2.485278471908714e-08
210,2.4240389251417582e-08,2.4838765710910593e-08
211,2.406914489938572e-08,2.4483103544525875e-08
212,2.3929072057171652e-08,2.438119928172e-08
213,2.3838047980007104e-08,2.5492917998803932e-08
214,2.3729889164769702e-08,2.4319975366893232e-08
215,2.3625627676437944e-08,2.427329981458115e-08
216,2.3510061453180242e-08,2.37385453516481e-08
217,2.33648229652772e-08,2.3628180301216162e-08
218,2.3158907680453922e-08,2.354439132545849e-08
219,2.3044654184900537e-08,2.399385579110458e-08
220,2.291355372108228e-08,2.3195628529038004e-08
221,2.275293553566371e-08,2.324376957574259e-08
222,2.2825101808621184e-08,2.299079682188676e-08
223,2.256488329521744e-08,2.2751725836656078e-08
224,2.24701128814786e-08,2.3224860257187174e-08
225,2.245352703766912e-08,2.3009240734950254e-08
226,2.2290278067771396e-08,2.2761723172948223e-08
227,2.2165790980466227e-08,2.2229949436791685e-08
228,2.201040238958285e-08,2.2273880517786893e-08
229,2.1846028985805788e-08,2.2143414213360302e-08
230,2.1836433106159348e-08,2.20987530497041e-08
231,2.170359181263848e-08,2.1757262658184118e-08
232,2.151258193805461e-08,2.196796344833274e-08
233,2.1534338756623583e-08,2.187546499499149e-08
234,2.1483153034296265e-08,2.196398796172616e-08
235,2.1257520188555645e-08,2.1799662519583762e-08
236,2.1094505697760724e-08,2.151750067014291e-08
237,2.1033347508137012e-08,2.1345162082297975e-08
238,2.0846769643867447e-08,2.146204813868735e-08
239,2.0810647427538242e-08,2.0733338601530704e-08
240,2.0650590570880922e-08,2.055685399682261e-08
241,2.0628069918871006e-08,2.060613724097493e-08
242,2.0522575638892704e-08,2.0617489937535538e-08
243,2.0490045216092767e-08,2.024678025236426e-08
244,2.01882528472197e-08,2.0178232418288644e-08
245,2.0132091549385223e-08,2.0160157987447747e-08
246,2.0011174939327248e-08,2.0196946337591726e-08
247,1.992501275083214e-08,1.9861886357830372e-08
248,1.9828727104709287e-08,1.9849467847166125e-08
249,1.9780163285076924e-08,2.036961177509511e-08
250,1.975695518297016e-08,1.958267503709976e-08
251,1.9578013876753175e-08,1.9435216103147468e-08
252,1.9377971227640955e-08,1.9433443299021746e-08
253,1.9453787913903398e-08,1.935852900203372e-08
254,1.9351739766193532e-08,1.9225140590606316e-08
255,1.9079067214988754e-08,1.9017553753997163e-08
256,1.8994356310031435e-08,1.9170556697645225e-08
257,1.8942682089573282e-08,1.9066245471321963e-08
258,1.8857283734519115e-08,1.8842749582859142e-08
259,1.8889124930865364e-08,1.8944914970120408e-08
260,1.8690835545953632e-08,1.8807947199661612e-08
261,1.8678116830983527e-08,1.8814185764881586e-08
262,1.854855646854503e-08,1.8280170266393725e-08
263,1.8306076654539538e-08,1.8244696420310902e-08
264,1.850211184262207e-08,1.8444781701987267e-08
265,1.8180443817072955e-08,1.7991299117170456e-08
266,1.810022531856248e-08,1.7856978118402367e-08
267,1.8029648884976268e-08,1.8030140935820782e-08
268,1.7981944822054174e-08,1.7786410566600352e-08
269,1.7876974567343495e-08,1.8097983556231156e-08
270,1.7796466522668197e-08,1.825918793940673e-08
271,1.7684426367736705e-08,1.757959289250266e-08
272,1.7756281778247285e-08,1.8207240159995308e-08
273,1.7580948252771122e-08,1.7348078529266786e-08
274,1.7427597143182538e-08,1.714793640417156e-08
275,1.743289068656395e-08,1.744331612485439e-08
276,1.7233121596405e-08,1.6921841705652696e-08
277,1.7195370460854065e-08,1.7058114920587286e-08
278,1.7145410424745933e-08,1.7146939867984656e-08
279,1.701575236268127e-08,1.67575660015018e-08
280,1.69574860819921e-08,1.6680049341744052e-08
281,1.6828373361477134e-08,1.6695349103201806e-08
282,1.673420157999317e-08,1.645534553063044e-08
283,1.6647460299168415e-08,1.6322141860314332e-08
284,1.664493076702911e-08,1.622496981212862e-08
285,1.6576775507815e-08,1.627783419166917e-08
286,1.6459884122355106e-08,1.612174571619107e-08
287,1.6490986354256165e-08,1.6053970597340594e-08
288,1.6343465247814493e-08,1.646386849074588e-08
289,1.6178447026504728e-08,1.6234460886721536e-08
290,1.6167820859891435e-08,1.5805982300776122e-08
291,1.605442534469148e-08,1.571502927788515e-08
292,1.59977364688757e-08,1.562786522413262e-08
293,1.606929167508042e-08,1.5720793555829005e-08
294,1.585047293417574e-08,1.5452274126914745e-08
295,1.5851293611035544e-08,1.5386426355235017e-08
296,1.580543163015591e-08,1.5549472820453047e-08
297,1.565377694134895e-08,1.5285252175090136e-08
298,1.5580747358967528e-08,1.5275221088018043e-08
